,Quarter,Tm,Detail,PHO,RAM
0,1.0,Rams,Michael Stewart 41 yard interception return (Mike Lansford kick),0,7
1,1.0,Rams,Henry Ellard 49 yard pass from Jim Everett (Mike Lansford kick),0,14
2,2.0,Rams,Robert Delpino 32 yard rush (Mike Lansford kick),0,21
3,2.0,Rams,Mike Lansford 27 yard field goal,0,24
4,3.0,Rams,Mike Lansford 23 yard field goal,0,27
5,3.0,Cardinals,Don Holmes 77 yard pass from Tom Tupa (Al Del Greco kick),7,27
6,4.0,Rams,Mike Lansford 40 yard field goal,7,30
7,4.0,Rams,Henry Ellard 42 yard pass from Jim Everett (Mike Lansford kick),7,37
8,4.0,Cardinals,Tony Jordan 1 yard rush (Al Del Greco kick),14,37
