,Quarter,Tm,Detail,CLE,NOR
0,1.0,Browns,Paul Warfield 18 yard pass from Frank Ryan (Lou Groza kick),7,0
1,2.0,Saints,Jim Taylor 2 yard rush (Charlie Durkee kick),7,7
2,2.0,Browns,Ernie Green 41 yard pass from Frank Ryan (Lou Groza kick),14,7
3,3.0,Browns,Leroy Kelly 1 yard rush (Lou Groza kick),21,7
4,3.0,Browns,Ernie Green 2 yard rush (Lou Groza kick),28,7
5,4.0,Browns,Paul Warfield 49 yard pass from Frank Ryan (Lou Groza kick),35,7
6,4.0,Browns,Ralph Smith offensive fumble recovery in end zone (Lou Groza kick),42,7
