,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Gary Anderson 38 yard field goal,0,3
1,2.0,Chargers,John Carney 48 yard field goal,3,3
2,2.0,Steelers,Chris Calloway 33 yard pass from Bubby Brister (Gary Anderson kick),3,10
3,3.0,Steelers,Gary Anderson 29 yard field goal,3,13
4,3.0,Steelers,Gary Anderson 31 yard field goal,3,16
5,4.0,Steelers,Gary Anderson 39 yard field goal,3,19
6,4.0,Chargers,Nate Lewis 11 yard pass from Rod Bernstine (John Carney kick),10,19
7,4.0,Chargers,John Carney 35 yard field goal,13,19
8,4.0,Steelers,Dwight Stone 89 yard pass from Neil O'Donnell (Gary Anderson kick),13,26
9,4.0,Chargers,Shawn Jefferson 5 yard pass from John Friesz (John Carney kick),20,26
