,Quarter,Tm,Detail,PIT,MIA
0,1.0,Dolphins,Pete Stoyanovich 31 yard field goal,0,3
1,2.0,Steelers,Leroy Thompson 1 yard rush (Gary Anderson kick),7,3
2,2.0,Dolphins,Pete Stoyanovich 22 yard field goal,7,6
3,3.0,Steelers,Leroy Thompson 3 yard rush (Gary Anderson kick),14,6
4,4.0,Steelers,Merril Hoge 2 yard pass from Neil O'Donnell (Gary Anderson kick),21,6
5,4.0,Dolphins,Keith Jackson 3 yard pass from Steve DeBerg (Pete Stoyanovich kick),21,13
6,4.0,Dolphins,O.J. McDuffie 72 yard punt return (Pete Stoyanovich kick),21,20
