,Quarter,Time,Tm,Detail,NYJ,NOR
0,1.0,11:28,Jets,John Hall 39 yard field goal,3,0
1,1.0,8:53,Jets,John Hall 47 yard field goal,6,0
2,2.0,2:31,Jets,Laveranues Coles 7 yard pass from Vinny Testaverde (John Hall kick),13,0
3,3.0,7:01,Saints,Ricky Williams 1 yard rush (John Carney kick),13,7
4,3.0,3:45,Saints,"Safety,",13,9
5,4.0,3:27,Jets,John Hall 23 yard field goal,16,9
