,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,John Riggins 1 yard rush (Bobby Howfield kick),0,7
1,1.0,Bills,John Leypoldt 9 yard field goal,3,7
2,2.0,Jets,Emerson Boozer 1 yard rush (Bobby Howfield kick),3,14
3,2.0,Jets,Emerson Boozer 4 yard pass from Joe Namath (Bobby Howfield kick),3,21
4,2.0,Jets,Bobby Howfield 26 yard field goal,3,24
5,3.0,Jets,Rich Caster 26 yard pass from Joe Namath (Bobby Howfield kick),3,31
6,4.0,Jets,Bobby Howfield 25 yard field goal,3,34
7,4.0,Jets,Jerome Barkum 9 yard pass from Bob Davis (Bobby Howfield kick),3,41
