,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Toni Fritsch 18 yard field goal,3,0
1,1.0,Cardinals,Jim Bakken 33 yard field goal,3,3
2,2.0,Cowboys,Toni Fritsch 13 yard field goal,6,3
3,2.0,Cowboys,Drew Pearson 28 yard pass from Roger Staubach (Toni Fritsch kick),13,3
4,3.0,Cowboys,Jean Fugett 48 yard pass from Roger Staubach (Toni Fritsch kick),20,3
5,4.0,Cowboys,Drew Pearson 17 yard pass from Roger Staubach (Toni Fritsch kick),27,3
6,4.0,Cowboys,Toni Fritsch 17 yard field goal,30,3
