,Quarter,Tm,Detail,HOU,SFO
0,2.0,Oilers,Al Del Greco 24 yard field goal,3,0
1,2.0,Oilers,Ernest Givins 7 yard pass from Warren Moon (Al Del Greco kick),10,0
2,4.0,49ers,Amp Lee 8 yard rush (Mike Cofer kick),10,7
