,Quarter,Tm,Detail,DET,FRN
0,2,Panthers,Gus Sonnenberg 28 yard field goal,3,0
1,3,Panthers,Gus Sonnenberg 52 yard field goal,6,0
2,4,Yellow Jackets,Guy Chamberlin fumble recovery in end zone (Ed Weir kick),6,7
