,Quarter,Tm,Detail,CLE,SFO
0,1.0,Browns,Don Cockroft 18 yard field goal,3,0
1,1.0,49ers,John David Crow 4 yard pass from John Brodie (Dennis Patera kick),3,7
2,2.0,49ers,Clifton McNeil 9 yard pass from John Brodie (Dennis Patera kick),3,14
3,2.0,Browns,Milt Morin 32 yard pass from Bill Nelsen (Don Cockroft kick),10,14
4,2.0,Browns,Don Cockroft 46 yard field goal,13,14
5,2.0,Browns,Don Cockroft 14 yard field goal,16,14
6,3.0,Browns,Leroy Kelly 2 yard rush (Don Cockroft kick),23,14
7,3.0,Browns,Don Cockroft 16 yard field goal,26,14
8,4.0,Browns,Milt Morin 15 yard pass from Bill Nelsen (Don Cockroft kick),33,14
9,4.0,49ers,Bob Windsor 5 yard pass from John Brodie (Dennis Patera kick),33,21
