,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Leo Elter 22 yard rush (Vic Janowicz kick),0,7
1,2.0,Steelers,Fran Rogel 1 yard rush (Tad Weed kick),7,7
2,2.0,Steelers,Ray Mathews 29 yard pass from Jim Finks (Tad Weed kick),14,7
3,3.0,Steelers,Tad Weed 9 yard field goal,17,7
4,3.0,Redskins,Ralph Thomas 11 yard pass from Eddie LeBaron (Vic Janowicz kick),17,14
5,4.0,Redskins,Dale Atkeson 5 yard pass from Eddie LeBaron (Vic Janowicz kick),17,21
6,4.0,Redskins,Vic Janowicz 3 yard rush (Vic Janowicz kick),17,28
