,Quarter,Time,Tm,Detail,DEN,KAN
0,1.0,,Broncos,Terrell Davis 6 yard rush (Jason Elam kick),7,0
1,1.0,,Chiefs,Pete Stoyanovich 37 yard field goal,7,3
2,2.0,,Chiefs,Danan Hughes 8 yard pass from Steve Bono (Pete Stoyanovich kick),7,10
3,2.0,,Broncos,Terrell Davis 65 yard rush (Jason Elam kick),14,10
4,4.0,,Chiefs,Marcus Allen 2 yard rush (Pete Stoyanovich kick),14,17
