,Quarter,Tm,Detail,SDG,SFO
0,1.0,Chargers,Wes Chandler 31 yard pass from Dan Fouts (Rolf Benirschke kick),7,0
1,1.0,49ers,Joe Montana 11 yard rush (Ray Wersching kick),7,7
2,2.0,Chargers,Rolf Benirschke 25 yard field goal,10,7
3,2.0,49ers,Jeff Moore 6 yard pass from Joe Montana (Ray Wersching kick),10,14
4,2.0,Chargers,Eric Sievers 25 yard pass from Dan Fouts (Rolf Benirschke kick),17,14
5,2.0,49ers,Ray Wersching 45 yard field goal,17,17
6,2.0,Chargers,Wes Chandler 14 yard pass from Dan Fouts (Rolf Benirschke kick),24,17
7,3.0,Chargers,Wes Chandler 20 yard pass from Dan Fouts (Rolf Benirschke kick),31,17
8,3.0,49ers,Freddie Solomon 14 yard pass from Joe Montana (Ray Wersching kick),31,24
9,4.0,49ers,Bill Ring 9 yard rush,31,30
10,4.0,Chargers,Rolf Benirschke 41 yard field goal,34,30
11,4.0,49ers,Dwight Clark 7 yard pass from Joe Montana (Ray Wersching kick),34,37
12,4.0,Chargers,Chuck Muncie 1 yard pass from Dan Fouts (Rolf Benirschke kick),41,37
