,Quarter,Time,Tm,Detail,WAS,CAR
0,1.0,0:00,Redskins,Albert Connell 16 yard pass from Trent Green (Cary Blanchard kick),7,0
1,1.0,0:00,Redskins,Skip Hicks 4 yard rush (Cary Blanchard kick),14,0
2,1.0,0:00,Panthers,John Kasay 26 yard field goal,14,3
3,2.0,0:00,Redskins,Skip Hicks 5 yard rush (Cary Blanchard kick),21,3
4,2.0,0:00,Panthers,Tim Biakabutuka 29 yard pass from Steve Beuerlein (John Kasay kick),21,10
5,2.0,1:52,Panthers,Dwight Stone blocked punt recovery in end zone (John Kasay kick),21,17
6,3.0,0:00,Redskins,Stephen Alexander 17 yard pass from Trent Green (Cary Blanchard kick),28,17
7,4.0,0:00,Panthers,Tim Biakabutuka 2 yard rush (Muhsin Muhammad pass from Steve Beuerlein),28,25
