,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Jeris White 77 yard interception return (Mark Moseley kick),0,7
1,1.0,Redskins,Mark Moseley 26 yard field goal,0,10
2,2.0,Redskins,Alvin Garrett 21 yard pass from Joe Theismann (Mark Moseley kick),0,17
3,2.0,Redskins,Alvin Garrett 21 yard pass from Joe Theismann (Mark Moseley kick),0,24
4,3.0,Redskins,Alvin Garrett 27 yard pass from Joe Theismann (Mark Moseley kick),0,31
5,3.0,Lions,David Hill 15 yard pass from Eric Hipple (Eddie Murray kick),7,31
