,Quarter,Tm,Detail,RAM,DEN
0,1.0,Rams,Frank Corral 30 yard field goal,3,0
1,1.0,Rams,Frank Corral 34 yard field goal,6,0
2,2.0,Broncos,"Safety, Williams penalized for holding in end zone",6,2
3,3.0,Broncos,Dave Preston 7 yard rush (Jim Turner kick),6,9
4,4.0,Rams,Jack Reynolds 4 yard defensive fumble return (Frank Corral kick),13,9
