,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Raymond Berry 45 yard pass from Johnny Unitas (Steve Myhra kick),0,7
1,1.0,Colts,Alex Hawkins 1 yard pass from Johnny Unitas (Steve Myhra kick),0,14
2,2.0,Colts,Raymond Berry 21 yard pass from Johnny Unitas (Steve Myhra kick),0,21
3,2.0,Packers,Jim Taylor 4 yard rush (Paul Hornung kick),7,21
4,3.0,Packers,Paul Hornung 10 yard rush (Paul Hornung kick),14,21
5,3.0,Colts,Steve Myhra 31 yard field goal,14,24
6,4.0,Packers,Paul Hornung 2 yard rush (Paul Hornung kick),21,24
7,4.0,Packers,Paul Hornung 21 yard field goal,24,24
8,4.0,Colts,Raymond Berry 16 yard pass from Johnny Unitas (Steve Myhra kick),24,31
9,4.0,Colts,Alex Hawkins 13 yard rush (Steve Myhra kick),24,38
