,Quarter,Tm,Detail,DAL,HOU
0,1,Cowboys,Robert Williams 18 yard blocked punt return (Ken Willis kick),7,0
1,1,Cowboys,Ken Willis 35 yard field goal,10,0
2,2,Oilers,Allen Pinkett 1 yard rush (Al Del Greco kick),10,7
3,2,Oilers,Al Del Greco 52 yard field goal,10,10
4,2,Cowboys,Ken Willis 37 yard field goal,13,10
5,3,Oilers,Al Del Greco 19 yard field goal,13,13
6,3,Cowboys,Ken Willis 45 yard field goal,16,13
7,4,Oilers,Al Del Greco 22 yard field goal,16,16
8,4,Oilers,Lorenzo White 4 yard rush (Al Del Greco kick),16,23
9,4,Cowboys,Michael Irvin 10 yard pass from Troy Aikman (Ken Willis kick),23,23
10,OT,Oilers,Al Del Greco 23 yard field goal,23,26
