,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Jim Grabowski 1 yard rush (Mike Mercer kick),7,0
1,2.0,Packers,Mike Mercer 44 yard field goal,10,0
2,2.0,49ers,Clifton McNeil 15 yard pass from John Brodie (Tommy Davis kick),10,7
3,3.0,Packers,Jim Grabowski 1 yard rush (Mike Mercer kick),17,7
4,3.0,Packers,Mike Mercer 44 yard field goal,20,7
5,4.0,49ers,Bill Tucker 19 yard pass from John Brodie (Tommy Davis kick),20,14
6,4.0,49ers,Bill Tucker 59 yard pass from John Brodie (Tommy Davis kick),20,21
7,4.0,49ers,Tommy Davis 37 yard field goal,20,24
8,4.0,49ers,Tommy Davis 13 yard field goal,20,27
