,Quarter,Time,Tm,Detail,GNB,DEN
0,1.0,4:39,Broncos,Ronnie Hillman 1 yard rush (Brandon McManus kick),0,7
1,2.0,14:02,Broncos,Ronnie Hillman 15 yard rush (Brandon McManus kick),0,14
2,2.0,7:46,Broncos,Brandon McManus 50 yard field goal,0,17
3,2.0,2:58,Packers,Eddie Lacy 2 yard rush (Mason Crosby kick),7,17
4,3.0,9:07,Packers,Mason Crosby 56 yard field goal,10,17
5,3.0,5:25,Broncos,C.J. Anderson 28 yard rush (Brandon McManus kick),10,24
6,4.0,12:25,Broncos,Brandon McManus 24 yard field goal,10,27
7,4.0,12:09,Broncos,"Safety, Richard Rodgers tackled in end zone by Malik Jackson",10,29
