,Quarter,Time,Tm,Detail,SEA,STL
0,1.0,12:23,Rams,Kevin Curtis 15 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
1,1.0,6:51,Rams,Steven Jackson 4 yard rush (Jeff Wilkins kick),0,14
2,2.0,12:18,Rams,Jeff Wilkins 36 yard field goal,0,17
3,2.0,6:50,Seahawks,Josh Brown 28 yard field goal,3,17
4,2.0,5:03,Seahawks,Josh Brown 30 yard field goal,6,17
5,3.0,9:32,Rams,Jeff Wilkins 47 yard field goal,6,20
6,3.0,5:54,Seahawks,Josh Brown 45 yard field goal,9,20
7,3.0,3:54,Seahawks,Josh Brown 41 yard field goal,12,20
8,4.0,0:26,Rams,Jeff Wilkins 23 yard field goal,12,23
