,Quarter,Tm,Detail,TAM,SFO
0,1.0,Buccaneers,Anthony McDowell 51 yard pass from Vinny Testaverde (Eddie Murray kick),7,0
1,1.0,49ers,John Taylor 9 yard pass from Steve Young (Mike Cofer kick),7,7
2,3.0,49ers,Jerry Rice 32 yard pass from Steve Young (Mike Cofer kick),7,14
3,4.0,Buccaneers,Reggie Cobb 1 yard rush (Eddie Murray kick),14,14
4,4.0,49ers,Jerry Rice 30 yard pass from Steve Young (Mike Cofer kick),14,21
