,Quarter,Tm,Detail,PIT,CLE
0,2.0,Browns,Jeff Jaeger 29 yard field goal,0,3
1,2.0,Browns,Kevin Mack 1 yard rush (Jeff Jaeger kick),0,10
2,2.0,Steelers,Gary Anderson 27 yard field goal,3,10
3,3.0,Steelers,Donnie Shell 19 yard defensive fumble return (Gary Anderson kick),10,10
4,3.0,Browns,Gerald McNeil 11 yard pass from Bernie Kosar (Jeff Jaeger kick),10,17
5,4.0,Browns,Jeff Jaeger 23 yard field goal,10,20
6,4.0,Browns,Clay Matthews 26 yard interception return (Jeff Jaeger kick),10,27
7,4.0,Browns,Clarence Weathers 37 yard pass from Bernie Kosar (Jeff Jaeger kick),10,34
