,Quarter,Tm,Detail,RAI,CIN
0,1.0,Bengals,Doug Pelfrey 45 yard field goal,0,3
1,2.0,Bengals,Eric Ball 1 yard rush (Doug Pelfrey kick),0,10
2,3.0,Bengals,Doug Pelfrey 34 yard field goal,0,13
3,4.0,Raiders,Jeff Hostetler 4 yard rush (Jeff Jaeger kick),7,13
4,4.0,Bengals,Doug Pelfrey 44 yard field goal,7,16
5,4.0,Raiders,Jeff Jaeger 34 yard field goal,10,16
