,Quarter,Time,Tm,Detail,PIT,DEN
0,1.0,11:00,Steelers,Heath Miller 1 yard pass from Ben Roethlisberger (Jeff Reed kick),7,0
1,1.0,6:17,Broncos,Brandon Stokley 15 yard pass from Jay Cutler (Jason Elam kick),7,7
2,2.0,4:01,Broncos,Cecil Sapp 1 yard pass from Jay Cutler (Jason Elam kick),7,14
3,2.0,2:31,Broncos,Tim Crowder 50 yard defensive fumble return (Jason Elam kick),7,21
4,3.0,8:10,Steelers,Santonio Holmes 13 yard pass from Ben Roethlisberger (Jeff Reed kick),14,21
5,3.0,0:00,Broncos,Tony Scheffler 1 yard pass from Jay Cutler (Jason Elam kick),14,28
6,4.0,10:10,Steelers,Matt Spaeth 13 yard pass from Ben Roethlisberger (Jeff Reed kick),21,28
7,4.0,1:10,Steelers,Heath Miller 12 yard pass from Ben Roethlisberger (Jeff Reed kick),28,28
8,4.0,0:00,Broncos,Jason Elam 49 yard field goal,28,31
