,Quarter,Tm,Detail,GNB,CHI
0,1,Packers,Jon Staggers 20 yard pass from Jerry Tagge (Chester Marcol kick),7,0
1,2,Packers,Les Goodman 3 yard rush (Chester Marcol kick),14,0
2,4,Packers,Jon Staggers 36 yard pass from Jerry Tagge (Chester Marcol kick),21,0
