,Quarter,Tm,Detail,CLE,BAL
0,1.0,Browns,Leroy Kelly 2 yard pass from Bill Nelsen (Don Cockroft kick),7,0
1,2.0,Colts,Tom Matte 23 yard rush (Lou Michaels kick),7,7
2,2.0,Browns,Paul Warfield 6 yard pass from Bill Nelsen (Don Cockroft kick),14,7
3,3.0,Browns,Eppie Barney 2 yard pass from Bill Nelsen (Don Cockroft kick),21,7
4,3.0,Colts,Lou Michaels 17 yard field goal,21,10
5,3.0,Colts,Lou Michaels 33 yard field goal,21,13
6,4.0,Browns,Leroy Kelly 4 yard rush,27,13
7,4.0,Browns,Don Cockroft 11 yard field goal,30,13
8,4.0,Colts,Willie Richardson 8 yard pass from Earl Morrall (Lou Michaels kick),30,20
