,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,Don Hutson 55 yard pass from Irv Comp (Glen Sorenson kick),0,7
1,2.0,Packers,Ben Starret 2 yard rush (Don Hutson kick),0,14
2,2.0,Packers,Don Hutson 7 yard pass from Irv Comp (Don Hutson kick),0,21
3,4.0,Packers,Lou Brock 30 yard rush,0,27
4,4.0,Cards/Steelers,Johnny Butler 33 yard pass from John Grigas (Marshall Robnett kick),7,27
5,4.0,Packers,Don Perkins 83 yard interception return (Don Hutson kick),7,34
