,Quarter,Tm,Detail,NYG,PHI
0,2.0,Eagles,Roger Ruzek 38 yard field goal,0,3
1,2.0,Eagles,Keith Jackson 73 yard pass from Jim McMahon (Roger Ruzek kick),0,10
2,2.0,Eagles,Roger Ruzek 36 yard field goal,0,13
3,3.0,Eagles,James Joseph 11 yard rush (Roger Ruzek kick),0,20
4,3.0,Giants,Rodney Hampton 1 yard rush (Raul Allegre kick),7,20
5,4.0,Eagles,Roger Ruzek 25 yard field goal,7,23
6,4.0,Eagles,James Joseph 1 yard rush (Roger Ruzek kick),7,30
