,Quarter,Time,Tm,Detail,JAX,CAR
0,2.0,4:46,Jaguars,Marc Edwards 2 yard rush (Seth Marler kick),7,0
1,2.0,0:00,Jaguars,Matthew Hatchette 33 yard pass from Mark Brunell (Seth Marler kick),14,0
2,3.0,8:52,Jaguars,Seth Marler 40 yard field goal,17,0
3,3.0,6:42,Panthers,Muhsin Muhammad 13 yard pass from Jake Delhomme (John Kasay kick),17,7
4,4.0,14:55,Panthers,John Kasay 49 yard field goal,17,10
5,4.0,12:56,Panthers,"Safety,",17,12
6,4.0,6:10,Panthers,Steve Smith 24 yard pass from Jake Delhomme (pass failed),17,18
7,4.0,5:14,Jaguars,Jermaine Lewis 65 yard pass from Mark Brunell (pass failed),23,18
8,4.0,0:16,Panthers,Ricky Proehl 12 yard pass from Jake Delhomme (pass failed),23,24
