,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Ernie Smith 34 yard field goal,3,0
1,3.0,Packers,Clarke Hinkle 1 yard rush (Ernie Smith kick),10,0
2,3.0,Packers,Herm Schneidman 46 yard pass from Arnie Herber (Ernie Smith kick),17,0
3,3.0,Giants,Tony Sarausky 1 yard rush (Tillie Manton kick),17,7
4,4.0,Giants,Lee Shaffer 17 yard pass from Tony Sarausky (Tillie Manton kick),17,14
5,4.0,Packers,"Safety, Smith blocked punt out of end zone",19,14
6,4.0,Packers,George Sauer 11 yard rush (Ernie Smith kick),26,14
