,Quarter,Tm,Detail,KAN,NYJ
0,1.0,Chiefs,Jeff Smith 1 yard rush,6,0
1,1.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),6,7
2,2.0,Jets,Freeman McNeil 1 yard pass from Pat Ryan (Pat Leahy kick),6,14
3,2.0,Jets,Al Toon 11 yard pass from Pat Ryan (Pat Leahy kick),6,21
4,3.0,Jets,Kevin McArthur 21 yard interception return (Pat Leahy kick),6,28
5,4.0,Chiefs,Albert Lewis special teams fumble recovery in end zone (Nick Lowery kick),13,28
6,4.0,Jets,Billy Griggs 6 yard pass from Pat Ryan (Pat Leahy kick),13,35
7,4.0,Chiefs,"Safety, Jennings ran out of end zone",15,35
