,Quarter,Time,Tm,Detail,NYJ,PHI
0,1.0,7:48,Eagles,Jordan Howard 1 yard rush (Jake Elliott kick),0,7
1,1.0,5:15,Eagles,Nathan Gerry 51 yard interception return (Jake Elliott kick),0,14
2,2.0,0:38,Eagles,Zach Ertz 11 yard pass from Carson Wentz (Jake Elliott kick),0,21
3,3.0,1:28,Eagles,Jake Elliott 28 yard field goal,0,24
4,4.0,14:40,Jets,Vyncint Smith 19 yard rush (pass failed),6,24
5,4.0,7:53,Eagles,Orlando Scandrick 44 yard fumble return (Jake Elliott kick),6,31
