,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),0,7
1,2.0,Bills,Scott Norwood 52 yard field goal,3,7
2,2.0,Jets,Pat Leahy 32 yard field goal,3,10
3,2.0,Bills,Andre Reed 7 yard pass from Jim Kelly (Scott Norwood kick),10,10
4,3.0,Bills,Scott Norwood 25 yard field goal,13,10
5,3.0,Jets,Blair Thomas 5 yard pass from Ken O'Brien (Pat Leahy kick),13,17
6,3.0,Bills,Scott Norwood 44 yard field goal,16,17
7,4.0,Jets,Pat Leahy 39 yard field goal,16,20
8,4.0,Bills,Thurman Thomas 15 yard pass from Jim Kelly (Scott Norwood kick),23,20
