,Quarter,Time,Tm,Detail,BAL,TEN
0,1.0,9:58,Ravens,Qadry Ismail 46 yard pass from Trent Dilfer (Matt Stover kick),7,0
1,2.0,12:26,Ravens,Jamal Lewis 2 yard rush (Matt Stover kick),14,0
2,2.0,8:10,Titans,Derrick Mason 10 yard pass from Steve McNair (Al Del Greco kick),14,7
3,2.0,1:04,Ravens,Matt Stover 45 yard field goal,17,7
4,2.0,0:03,Titans,Lorenzo Neal 4 yard pass from Steve McNair (Al Del Greco kick),17,14
5,4.0,8:23,Titans,Al Del Greco 23 yard field goal,17,17
6,4.0,2:30,Titans,Perry Phenix 87 yard interception return (Al Del Greco kick failed),17,23
7,4.0,0:25,Ravens,Patrick Johnson 2 yard pass from Trent Dilfer (Matt Stover kick),24,23
