,Quarter,Tm,Detail,SFO,DAL
0,1.0,Cowboys,Calvin Hill 1 yard rush (Efren Herrera kick),0,7
1,1.0,Cowboys,Efren Herrera 30 yard field goal,0,10
2,2.0,49ers,Ted Kwalick 4 yard pass from Norm Snead (Bruce Gossett kick),7,10
3,3.0,Cowboys,Efren Herrera 27 yard field goal,7,13
4,4.0,49ers,Gene Washington 12 yard pass from Tom Owen (Bruce Gossett kick),14,13
5,4.0,Cowboys,Calvin Hill 6 yard rush (Efren Herrera kick),14,20
