,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,Jon Arnett 3 yard rush (Danny Villanueva kick),0,7
1,1.0,Redskins,Dick James 2 yard rush (Bob Khayat kick),7,7
2,2.0,Redskins,Bob Khayat 38 yard field goal,10,7
3,2.0,Redskins,Bob Khayat 31 yard field goal,13,7
4,2.0,Rams,Jon Arnett 6 yard pass from Zeke Bratkowski (Danny Villanueva kick),13,14
5,3.0,Redskins,Billy Ray Barnes 1 yard rush (Bob Khayat kick),20,14
6,4.0,Redskins,Bob Khayat 44 yard field goal,23,14
7,4.0,Redskins,Norm Snead 1 yard rush (Bob Khayat kick),30,14
8,4.0,Redskins,Fred Dugan 15 yard pass from Norm Snead (Bob Khayat kick),37,14
