,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,11:19,Colts,Mike Vanderjagt 41 yard field goal,0,3
1,1.0,1:41,Dolphins,Olindo Mare 37 yard field goal,3,3
2,2.0,9:45,Dolphins,Olindo Mare 27 yard field goal,6,3
3,2.0,4:39,Colts,Marvin Harrison 33 yard pass from Peyton Manning (Mike Vanderjagt kick),6,10
4,2.0,0:24,Dolphins,Olindo Mare 21 yard field goal,9,10
5,3.0,8:34,Colts,Marcus Pollard 9 yard pass from Peyton Manning (Mike Vanderjagt kick),9,17
6,4.0,13:08,Dolphins,Tony Martin 28 yard pass from Dan Marino (pass failed),15,17
7,4.0,12:52,Colts,Terrence Wilkins 97 yard kickoff return (Mike Vanderjagt kick),15,24
8,4.0,9:45,Dolphins,Cecil Collins 25 yard rush (Olindo Mare kick),22,24
9,4.0,8:14,Colts,Marcus Pollard 32 yard pass from Peyton Manning (Mike Vanderjagt kick),22,31
10,4.0,3:20,Dolphins,Olindo Mare 43 yard field goal,25,31
11,4.0,1:54,Dolphins,"Safety, Manning ran out of end zone",27,31
12,4.0,0:27,Dolphins,Oronde Gadsden 2 yard pass from Dan Marino (Olindo Mare kick),34,31
