,Quarter,Time,Tm,Detail,NYG,NWE
0,1.0,7:48,Giants,LeShon Johnson 6 yard pass from Kent Graham (Brad Daluiso kick),7,0
1,2.0,8:21,Patriots,Terry Allen 1 yard rush (Adam Vinatieri kick),7,7
2,3.0,8:55,Patriots,Adam Vinatieri 38 yard field goal,7,10
3,3.0,1:32,Patriots,Adam Vinatieri 19 yard field goal,7,13
4,4.0,3:12,Patriots,Adam Vinatieri 41 yard field goal,7,16
5,4.0,1:14,Giants,Tiki Barber 1 yard pass from Kent Graham (Brad Daluiso kick),14,16
