,Quarter,Tm,Detail,NOR,SFO
0,2.0,49ers,Danny Abramowicz 23 yard pass from John Brodie (Bruce Gossett kick),0,7
1,2.0,49ers,Bruce Gossett 54 yard field goal,0,10
2,3.0,49ers,Vic Washington 1 yard rush (Bruce Gossett kick),0,17
3,3.0,49ers,Vic Washington 1 yard rush (Bruce Gossett kick),0,24
4,3.0,49ers,Ken Willard 3 yard rush (Bruce Gossett kick),0,31
5,4.0,49ers,"Safety, Hardman tackled Scott in end zone",0,33
6,4.0,49ers,Ted Kwalick 36 yard pass from Joe Reed (Bruce Gossett kick),0,40
