,Quarter,Tm,Detail,DEN,SDG
0,2,Broncos,Rick Upchurch 59 yard pass from Steve Ramsey (Jim Turner kick),7,0
1,3,Broncos,Jim Turner 42 yard field goal,10,0
2,4,Broncos,Tom Jackson 46 yard interception return (Jim Turner kick),17,0
