,Quarter,Time,Tm,Detail,PHI,TEN
0,1.0,7:10,Titans,Eddie George 14 yard pass from Steve McNair (Joe Nedney kick),0,7
1,1.0,5:20,Eagles,James Thrash 18 yard pass from Donovan McNabb (David Akers kick),7,7
2,1.0,2:36,Eagles,Duce Staley 7 yard pass from Donovan McNabb (David Akers kick),14,7
3,2.0,11:00,Titans,Joe Nedney 33 yard field goal,14,10
4,2.0,5:05,Eagles,Chad Lewis 7 yard pass from Donovan McNabb (David Akers kick),21,10
5,2.0,0:48,Eagles,David Akers 30 yard field goal,24,10
6,3.0,11:06,Titans,Joe Nedney 47 yard field goal,24,13
7,4.0,12:49,Titans,Justin McCareins 2 yard pass from Steve McNair (run failed),24,19
8,4.0,3:09,Titans,Eddie George 2 yard rush (Steve McNair run),24,27
