,Quarter,Tm,Detail,CHI,SDG
0,1.0,Bears,Ken Grandberry 4 yard rush (Mirro Roder kick),7,0
1,2.0,Chargers,Don Woods 21 yard pass from Jesse Freitas (Dennis Partee kick),7,7
2,3.0,Chargers,Blenda Gay 17 yard special teams fumble return (Dennis Partee kick),7,14
3,3.0,Bears,Perry Williams 3 yard rush (Mirro Roder kick),14,14
4,3.0,Bears,Wayne Wheeler 19 yard pass from Bobby Douglass (Mirro Roder kick),21,14
5,4.0,Chargers,Harrison Davis 43 yard pass from Jesse Freitas (Dennis Partee kick),21,21
6,4.0,Chargers,Bo Matthews 1 yard rush (Dennis Partee kick),21,28
