,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,13:31,Giants,Plaxico Burress 60 yard pass from Eli Manning (Lawrence Tynes kick failed),6,0
1,1.0,6:32,Cowboys,Nick Folk 31 yard field goal,6,3
2,2.0,9:40,Cowboys,Marion Barber III 18 yard rush (Nick Folk kick),6,10
3,2.0,3:59,Cowboys,Jason Witten 12 yard pass from Tony Romo (Nick Folk kick),6,17
4,2.0,0:21,Giants,Plaxico Burress 4 yard pass from Eli Manning (Lawrence Tynes kick),13,17
5,2.0,0:03,Giants,Lawrence Tynes 44 yard field goal,16,17
6,3.0,12:00,Cowboys,Terrell Owens 22 yard pass from Tony Romo (Nick Folk kick),16,24
7,3.0,5:47,Giants,Lawrence Tynes 48 yard field goal,19,24
8,3.0,1:12,Cowboys,Tony Romo 9 yard rush (Nick Folk kick),19,31
9,4.0,13:23,Giants,Lawrence Tynes 24 yard field goal,22,31
10,4.0,11:43,Cowboys,Terrell Owens 47 yard pass from Tony Romo (Nick Folk kick),22,38
11,4.0,7:20,Giants,Derrick Ward 9 yard pass from Eli Manning (pass failed),28,38
12,4.0,4:09,Giants,Plaxico Burress 10 yard pass from Eli Manning (Lawrence Tynes kick),35,38
13,4.0,3:03,Cowboys,Sam Hurd 51 yard pass from Tony Romo (Nick Folk kick),35,45
