,Quarter,Tm,Detail,SFO,CIN
0,1.0,49ers,Mike Cofer 41 yard field goal,3,0
1,2.0,Bengals,Jim Breech 34 yard field goal,3,3
2,3.0,Bengals,Jim Breech 43 yard field goal,3,6
3,3.0,49ers,Mike Cofer 32 yard field goal,6,6
4,3.0,Bengals,Stanford Jennings 93 yard kickoff return (Jim Breech kick),6,13
5,4.0,49ers,Jerry Rice 14 yard pass from Joe Montana (Mike Cofer kick),13,13
6,4.0,Bengals,Jim Breech 40 yard field goal,13,16
7,4.0,49ers,John Taylor 10 yard pass from Joe Montana (Mike Cofer kick),20,16
