,Quarter,Time,Tm,Detail,CIN,SFO
0,1.0,,Bengals,Tony McGee 5 yard pass from Jeff Blake (Doug Pelfrey kick),7,0
1,1.0,,Bengals,Garrison Hearst 15 yard pass from Jeff Blake (Doug Pelfrey kick),14,0
2,2.0,,Bengals,Darnay Scott 50 yard pass from Jeff Blake (Doug Pelfrey kick),21,0
3,2.0,,49ers,Ted Popson 17 yard pass from Elvis Grbac (Jeff Wilkins kick),21,7
4,3.0,,49ers,Ted Popson 39 yard pass from Steve Young (Jeff Wilkins kick),21,14
5,4.0,,49ers,Terrell Owens 45 yard pass from Steve Young (Jeff Wilkins kick),21,21
6,4.0,,49ers,Steve Young 15 yard rush (Jeff Wilkins kick),21,28
