,Quarter,Tm,Detail,RCH,RII
0,1.0,Independents,Bill Giaver 7 yard rush (Herb Sies kick),0,7
1,1.0,Independents,John Armstrong unknown yard rush (Herb Sies kick),0,14
2,2.0,Independents,Waddy Kuehl 13 yard pass from John Armstrong (Herb Sies kick),0,21
3,2.0,Independents,Waddy Kuehl unknown yard rush,0,28
4,4.0,Independents,Bill Giaver unknown yard rush (Herb Sies kick),0,35
5,4.0,Independents,Mike Wilson unknown yard pass from John Armstrong (Herb Sies kick),0,42
6,4.0,Independents,Waddy Kuehl unknown yard rush (Herb Sies kick),0,49
7,4.0,Independents,Bill Giaver unknown yard rush (Herb Sies kick),0,56
