,Quarter,Tm,Detail,NYJ,BUF
0,2,Jets,Pat Leahy 23 yard field goal,3,0
1,3,Bills,Scott Norwood 25 yard field goal,3,3
2,4,Bills,Scott Norwood 26 yard field goal,3,6
3,4,Jets,Pat Leahy 40 yard field goal,6,6
4,OT,Bills,Scott Norwood 30 yard field goal,6,9
