,Quarter,Time,Tm,Detail,IND,DEN
0,1.0,7:17,Colts,Marvin Harrison 7 yard pass from Jim Sorgi (Mike Vanderjagt kick),7,0
1,1.0,4:14,Broncos,Ashley Lelie 38 yard pass from Jake Plummer (Jason Elam kick),7,7
2,2.0,12:12,Broncos,Jason Elam 45 yard field goal,7,10
3,2.0,5:49,Broncos,Patrick Hape 2 yard pass from Jake Plummer (Jason Elam kick),7,17
4,2.0,4:47,Colts,Reggie Wayne 71 yard pass from Jim Sorgi (Mike Vanderjagt kick),14,17
5,2.0,0:49,Broncos,Jason Elam 23 yard field goal,14,20
6,3.0,7:03,Broncos,Jake Plummer 5 yard rush (Jason Elam kick),14,27
7,3.0,2:20,Broncos,Jason Elam 40 yard field goal,14,30
8,4.0,5:40,Broncos,Jason Elam 40 yard field goal,14,33
