,Quarter,Tm,Detail,NYJ,RAI
0,1.0,Jets,Wesley Walker 20 yard pass from Richard Todd (Pat Leahy kick),7,0
1,2.0,Jets,Pat Leahy 30 yard field goal,10,0
2,3.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),10,7
3,3.0,Raiders,Malcolm Barnwell 57 yard pass from Jim Plunkett (Chris Bahr kick),10,14
4,4.0,Jets,Scott Dierking 1 yard rush (Pat Leahy kick),17,14
