,Quarter,Tm,Detail,NYG,WAS
0,1.0,Redskins,Preston Carpenter 14 yard pass from Sonny Jurgensen (Jim Martin kick),0,7
1,2.0,Giants,Gary Wood 1 yard rush (Don Chandler kick),7,7
2,2.0,Giants,Joe Morrison 15 yard rush (Don Chandler kick),14,7
3,2.0,Redskins,Jim Martin 31 yard field goal,14,10
4,3.0,Redskins,Charley Taylor 24 yard pass from Sonny Jurgensen (Jim Martin kick),14,17
5,3.0,Giants,Aaron Thomas 9 yard pass from Gary Wood (Don Chandler kick),21,17
6,3.0,Redskins,Bobby Mitchell 17 yard pass from Sonny Jurgensen,21,23
7,4.0,Redskins,Bobby Mitchell 32 yard pass from Sonny Jurgensen,21,29
8,4.0,Redskins,J.W. Lockett 3 yard rush (Jim Martin kick),21,36
