,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,14:14,Redskins,Clinton Portis 5 yard rush (John Hall kick),0,7
1,1.0,12:49,Eagles,L.J. Smith 2 yard pass from Donovan McNabb (David Akers kick),7,7
2,3.0,10:43,Eagles,David Akers 38 yard field goal,10,7
3,3.0,0:25,Eagles,Dorsey Levens 1 yard rush (David Akers kick),17,7
4,4.0,12:04,Redskins,Clinton Portis 2 yard rush (John Hall kick),17,14
