,Quarter,Tm,Detail,PHI,SDG
0,1.0,Eagles,John Spagnola 3 yard pass from Ron Jaworski (Paul McFadden kick),7,0
1,2.0,Chargers,Bob Thomas 45 yard field goal,7,3
2,3.0,Chargers,Tim Spencer 6 yard rush (Bob Thomas kick),7,10
3,3.0,Eagles,Dave Little offensive fumble recovery in end zone (Paul McFadden kick),14,10
4,3.0,Chargers,Charlie Joiner 23 yard pass from Mark Herrmann (Bob Thomas kick),14,17
5,4.0,Chargers,Bob Thomas 46 yard field goal,14,20
