,Quarter,Time,Tm,Detail,BAL,BUF
0,1.0,3:51,Bills,Rian Lindell 29 yard field goal,0,3
1,2.0,12:44,Bills,Rian Lindell 26 yard field goal,0,6
2,2.0,10:18,Bills,Rian Lindell 35 yard field goal,0,9
3,3.0,11:20,Ravens,Willis McGahee 46 yard rush (Matt Stover kick),7,9
4,3.0,7:18,Bills,Rian Lindell 41 yard field goal,7,12
5,3.0,2:14,Bills,Marshawn Lynch 1 yard rush (Rian Lindell kick),7,19
6,4.0,6:34,Ravens,Derrick Mason 15 yard pass from Kyle Boller (Matt Stover kick),14,19
