,Quarter,Time,Tm,Detail,GNB,SFO
0,1.0,,Packers,Ryan Longwell 19 yard field goal,3,0
1,2.0,,Packers,Antonio Freeman 27 yard pass from Brett Favre (Ryan Longwell kick),10,0
2,2.0,,49ers,Gary Anderson 28 yard field goal,10,3
3,2.0,,Packers,Ryan Longwell 43 yard field goal,13,3
4,4.0,,Packers,Ryan Longwell 25 yard field goal,16,3
5,4.0,,Packers,Dorsey Levens 5 yard rush (Ryan Longwell kick),23,3
6,4.0,3:58,49ers,Chuck Levy 95 yard kickoff return (Gary Anderson kick),23,10
