,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,,Giants,Howard Cross 1 yard pass from Dave Brown,6,0
1,1.0,,Cardinals,Greg Davis 21 yard field goal,6,3
2,2.0,0:06,Cardinals,Fred McAfee 2 yard rush (Greg Davis kick),6,10
3,2.0,0:06,Giants,Rodney Hampton 3 yard rush (David Treadwell kick),13,10
4,2.0,0:06,Giants,Howard Cross 1 yard pass from Dave Brown (David Treadwell kick),20,10
5,4.0,0:06,Cardinals,Ronald Moore 2 yard pass from Jim McMahon (Greg Davis kick),20,17
