,Quarter,Tm,Detail,NYG,IND
0,1.0,Giants,Matt Bahr 23 yard field goal,3,0
1,2.0,Giants,Ottis Anderson 2 yard rush (Matt Bahr kick),10,0
2,2.0,Giants,Ottis Anderson 3 yard rush (Matt Bahr kick),17,0
3,3.0,Colts,Albert Bentley 1 yard rush (Dean Biasucci kick),17,7
4,4.0,Giants,Dave Duerson 31 yard defensive fumble return (Matt Bahr kick),24,7
