,Quarter,Tm,Detail,PHI,CHI
0,1.0,Eagles,Mike Quick 47 yard pass from Ron Jaworski (Tony Franklin kick),7,0
1,2.0,Bears,Dennis McKinnon 43 yard pass from Jim McMahon (Bob Thomas kick),7,7
2,2.0,Bears,Emery Moorehead 2 yard pass from Jim McMahon (Bob Thomas kick),7,14
3,3.0,Eagles,Tony Woodruff 5 yard pass from Ron Jaworski (Tony Franklin kick),14,14
4,4.0,Bears,Bob Thomas 22 yard field goal,14,17
