,Quarter,Tm,Detail,CIN,SDG
0,1.0,Bengals,Jim Breech 19 yard field goal,3,0
1,1.0,Chargers,Wes Chandler 66 yard pass from Chuck Muncie (Rolf Benirschke kick),3,7
2,1.0,Bengals,Ken Anderson 12 yard rush (Jim Breech kick),10,7
3,2.0,Bengals,Bo Harris 62 yard interception return (Jim Breech kick),17,7
4,2.0,Chargers,James Brooks 17 yard rush (Rolf Benirschke kick),17,14
5,2.0,Bengals,Cris Collinsworth 6 yard pass from Ken Anderson (Jim Breech kick),24,14
6,2.0,Chargers,Rolf Benirschke 43 yard field goal,24,17
7,3.0,Chargers,Chuck Muncie 1 yard rush (Rolf Benirschke kick),24,24
8,3.0,Chargers,"Safety, Johnson tackled Anderson in end zone",24,26
9,3.0,Chargers,Wes Chandler 38 yard pass from Dan Fouts (Rolf Benirschke kick),24,33
10,3.0,Bengals,Jim Breech 27 yard field goal,27,33
11,3.0,Chargers,James Brooks 48 yard rush (Rolf Benirschke kick),27,40
12,3.0,Bengals,M.L. Harris 17 yard pass from Ken Anderson (Jim Breech kick),34,40
13,4.0,Chargers,Rolf Benirschke 26 yard field goal,34,43
14,4.0,Chargers,James Brooks 1 yard rush (Rolf Benirschke kick),34,50
