,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,Tom Fears 7 yard pass from Bob Waterfield (Bob Waterfield kick),7,0
1,1.0,Eagles,Cliff Patton 16 yard field goal,7,3
2,2.0,Eagles,Jack Myers 2 yard rush (Cliff Patton kick),7,10
3,2.0,Eagles,Bosh Pritchard 34 yard pass from Tommy Thompson (Cliff Patton kick),7,17
4,3.0,Eagles,Russ Craft 21 yard fumble return (Cliff Patton kick),7,24
5,3.0,Eagles,Pete Pihos 45 yard pass from Tommy Thompson (Cliff Patton kick),7,31
6,4.0,Eagles,Jim Parmer 4 yard rush (Cliff Patton kick),7,38
7,4.0,Rams,Vitamin Smith 13 yard rush (Bob Waterfield kick),14,38
