,Quarter,Tm,Detail,MIN,RAM
0,1.0,Vikings,Doug Mayberry 13 yard pass from Fran Tarkenton (Jim Christopherson kick),7,0
1,1.0,Vikings,Charley Ferguson 15 yard pass from Fran Tarkenton (Jim Christopherson kick),14,0
2,2.0,Vikings,Doug Mayberry 5 yard rush (Jim Christopherson kick),21,0
3,2.0,Vikings,Bill Butler 39 yard interception return (Jim Christopherson kick),28,0
4,2.0,Vikings,Jim Christopherson 32 yard field goal,31,0
5,3.0,Rams,Duane Allen 43 yard pass from Zeke Bratkowski (Danny Villanueva kick),31,7
6,3.0,Rams,Dick Bass 5 yard rush (Danny Villanueva kick),31,14
7,4.0,Vikings,Tommy Mason 25 yard pass from Fran Tarkenton (Jim Christopherson kick),38,14
