,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,13:01,Cowboys,Terry Glenn 15 yard pass from Drew Bledsoe (Jose Cortez kick),0,7
1,1.0,7:41,Cowboys,Terry Glenn 38 yard pass from Drew Bledsoe (Jose Cortez kick),0,14
2,1.0,0:19,Cowboys,Jose Cortez 28 yard field goal,0,17
3,2.0,10:23,Eagles,Todd France 23 yard field goal,3,17
4,2.0,5:22,Cowboys,Lousaka Polite 12 yard pass from Drew Bledsoe (Jose Cortez kick),3,24
5,2.0,0:09,Cowboys,Jose Cortez 33 yard field goal,3,27
6,3.0,11:39,Cowboys,Jose Cortez 37 yard field goal,3,30
7,3.0,1:12,Eagles,Sheldon Brown 80 yard defensive fumble return (Todd France kick),10,30
8,4.0,4:39,Cowboys,Jose Cortez 45 yard field goal,10,33
