,Quarter,Tm,Detail,MIN,PRV
0,1.0,Red Jackets,Ken Haycraft 10 yard pass from Herb Joesting (Hal Erickson kick),7,0
1,1.0,Steam Roller,Pop Williams 3 yard rush (Jack McBride kick),7,7
2,2.0,Red Jackets,Hal Erickson unknown yard field goal,10,7
3,3.0,Steam Roller,Pop Williams 7 yard rush,10,13
4,4.0,Red Jackets,Ken Haycraft 22 yard pass from Herb Joesting,16,13
5,4.0,Steam Roller,Pop Williams 1 yard rush,16,19
