,Quarter,Time,Tm,Detail,CIN,HOU
0,1.0,1:19,Bengals,Mohamed Sanu 6 yard pass from Andy Dalton (Mike Nugent kick),7,0
1,2.0,8:57,Bengals,"Safety, Alfred Blue tackled in the endzone by Geno Atkins.",9,0
2,2.0,1:45,Texans,Randy Bullock 36 yard field goal,9,3
3,3.0,11:48,Bengals,Jeremy Hill 2 yard rush (Mike Nugent kick),16,3
4,3.0,7:19,Texans,Johnathan Joseph 60 yard interception return (Randy Bullock kick),16,10
5,3.0,1:48,Texans,Randy Bullock 25 yard field goal,16,13
6,4.0,8:48,Bengals,Mike Nugent 31 yard field goal,19,13
7,4.0,1:55,Bengals,Mike Nugent 49 yard field goal,22,13
